Population,Line,Replicate,Treatment,Pot.ID,ImageJ_FruitCount,ImageJ_Counter,"bolting stalk (bent, broken, leaning, straight(",num lateral branches from main stalk,num primary stalks from rosette (main included),height main stalk (cm),total fruit num,num fruits collected,fruit collected location,done flowering,number flowers left,Notes,All Fruit Collected Weight (mg),seeds only weight,scanner position,scanned photo name,ImageJ_seed count,SeedCounter,BasiaFruitCount,Notes2
RODA,29,1,Current/Future,R29-1-CF,247,TX/CC,leaning,8,6,28.5,267,10,"2,4,6,8,10,12,14,16,18,20",y,0,2 primary stalks noted as tiny; 1 additional with no flowers was not counted,21.15,13.48,9,1,465,,NA,
RODA,29,2,Current/Future,R29-2-CF,59,TX,straight,7,5,29.5,106,10,"4,6,8,10,12,14,16,18,20,22",n,6,4 pirmary stalks noted as tiny; 2 additional branches with no flowers,21.53,13.91,5,9,495,SB,NA,
RODA,33,1,Current/Future,R33-1-CF,170,TM,bent,11,9,33.5,213,10,"3,10,13,15,17,19,20,22,2 on side",y,0,8 primary stalks noted as tiny,20.8,13.22,4,7,517,CC,NA,
RODA,33,2,Current/Future,R33-2-CF,149,TM,leaning,11,8,31,185,10,"8,10,12,14,16,18,20,22,24,26",y,0,one branch is only just started; 7 primary stalks noted as tiny,17.01,10.12,5,8,491,EA,NA,
RODA,35,1,Current/Future,R35-1-CF,73,TX,straight,7,6,26.5,109,10,"5,7,9,11,13,15,17,19,21,23",y,0,5 pirmary stalks noted as tiny; 3 additional branches with no flowers,16.12,10.22,12,5,325,CC,NA,
RODA,35,2,Current/Future,R35-2-CF,63,TX,straight,8,5,27,132,10,"4,6,8,10,12,14,16,18,20,22",n,21,4 primary stalks noted as tiny,20.01,12.85,5,7,437,CC,NA,
RODA,40,1,Current/Future,R40-1-CF,31,TX,straight,7,8,25,45,10,"3,5,7,10,13,16,18,20,22,24",y,0,7 primary stalks noted as tiny; 1 additional branch with no flowers,19.49,13.12,11,5,511,CC,NA,
RODA,40,2,Current/Future,R40-2-CF,59,TX,straight,7,7,30.5,81,10,"2,4,6,8,10,12,14,16,19,21",n,31,6 primary stalks noted as tiny; 1 additional branch with no flowers,21.96,14.53,4,9,551,SB,NA,
RODA,47,1,Current/Future,R47-1-CF,145,TX,straight,8,6,31,177,10,"4,7,10,11,13,15,18,28,30,32",n,105,5 primary stalks noted as tiny,18.66,11,6,7,431,EA,NA,
RODA,47,2,Current/Future,R47-2-CF,111,TM,bent,7,1,32,139,11,"10,12,14,16,20,22,24,26,28,30,32",n,16,,19.89,11.59,6,8,490,EA,NA,
RODA,47,3,Current/Future,R47-3-CF,,,,,,,no fruits,,,,,harvested at flower,,,,,,,NA,
RODA,47,4,Current/Future,R47-4-CF,,,,,,,some fruits,,,,,harvested at flower,,,,,,,NA,
RODA,47,5,Current/Future,R47-5-CF,42,TX,straight,6,8,21.5,61,10,"2,4,6,8,10,12,17,19,21,23",n,18,7 primary stalks noted as tiny; 2 additional branches with no flowers,19.85,12.78,7,7,435,EA,NA,
